iter	MultiClass
0	1.616553534
1	1.333690382
2	1.145528376
3	1.008347353
4	0.899541197
5	0.8137396407
6	0.7367956033
7	0.6732772925
8	0.6229453118
9	0.5765967035
10	0.5380861849
11	0.5038302006
12	0.472375798
13	0.4445063842
14	0.4185423739
15	0.3958061567
16	0.3773322993
17	0.3593373877
18	0.3433095195
19	0.3306491033
20	0.3161422734
21	0.3047022307
22	0.2911874511
23	0.2814171398
24	0.2722662821
25	0.2649661053
26	0.255835681
27	0.2496897996
28	0.2427632031
29	0.2357758803
30	0.2296985961
31	0.2247148008
32	0.2199868515
33	0.2149108487
34	0.2119436962
35	0.2076392751
36	0.2040663968
37	0.2009342758
38	0.1981036773
39	0.1950423317
40	0.1929352164
41	0.1905392553
42	0.1877018416
43	0.1841176864
44	0.181554781
45	0.1785512075
46	0.177061381
47	0.1738683637
48	0.1721708167
49	0.1699189479
50	0.167747151
51	0.1663184171
52	0.1645849723
53	0.1632720406
54	0.1625425318
55	0.1612656055
56	0.1599132834
57	0.1585808391
58	0.1563677091
59	0.1553379038
60	0.1538897936
61	0.1522439537
62	0.1510462335
63	0.1503846123
64	0.1495500026
65	0.1487359859
66	0.1482125447
67	0.1466470587
68	0.14594791
69	0.1449458314
70	0.1438222351
71	0.1435392091
72	0.1421435354
73	0.141733794
74	0.1406903785
75	0.1399981765
76	0.1395131399
77	0.1386282762
78	0.1379401564
79	0.1363612005
80	0.1357867052
81	0.1353347809
82	0.134896432
83	0.1336272512
84	0.1334343845
85	0.1320815187
86	0.1310385296
87	0.130605066
88	0.1296385134
89	0.1291336829
90	0.1278557713
91	0.1273432081
92	0.1263734208
93	0.1262278645
94	0.1259513964
95	0.1253930962
96	0.1251474194
97	0.1249949411
98	0.1243708215
99	0.1240997247
