iter	Passed	Remaining
0	24	2387
1	45	2227
2	66	2141
3	86	2073
4	106	2028
5	127	1992
6	148	1976
7	171	1972
8	194	1963
9	217	1954
10	239	1936
11	261	1919
12	284	1903
13	307	1891
14	330	1873
15	353	1855
16	375	1833
17	397	1811
18	420	1793
19	445	1780
20	467	1757
21	488	1732
22	511	1712
23	534	1692
24	557	1672
25	580	1652
26	602	1629
27	624	1604
28	647	1584
29	670	1564
30	692	1541
31	714	1519
32	738	1498
33	761	1478
34	784	1456
35	807	1435
36	830	1414
37	853	1393
38	876	1371
39	899	1349
40	921	1325
41	943	1302
42	965	1279
43	988	1258
44	1012	1237
45	1034	1214
46	1058	1193
47	1081	1171
48	1104	1149
49	1128	1128
50	1152	1107
51	1174	1084
52	1199	1063
53	1222	1041
54	1245	1018
55	1268	996
56	1291	974
57	1312	950
58	1336	928
59	1358	905
60	1381	883
61	1403	860
62	1426	837
63	1449	815
64	1472	792
65	1494	769
66	1516	746
67	1538	723
68	1560	701
69	1583	678
70	1605	655
71	1627	632
72	1650	610
73	1673	588
74	1697	565
75	1719	543
76	1740	519
77	1820	513
78	1854	493
79	1878	469
80	1903	446
81	1926	422
82	1948	399
83	1972	375
84	1995	352
85	2018	328
86	2040	304
87	2063	281
88	2087	258
89	2109	234
90	2132	210
91	2153	187
92	2176	163
93	2198	140
94	2220	116
95	2243	93
96	2265	70
97	2287	46
98	2309	23
99	2332	0
